title,critic_score,critic_sentiment,audience_score,audience_sentiment
Raat Akeli Hai: The Bansal Murders,,,,
Wake Up Dead Man: A Knives Out Mystery,93%,positive,94%,positive
Jay Kelly,76%,positive,87%,positive
Train Dreams,95%,positive,90%,positive
The Perfect Neighbor,99%,positive,81%,positive
Frankenstein,85%,positive,94%,positive
Glass Onion: A Knives Out Mystery,91%,positive,92%,positive
My Secret Santa,79%,positive,41%,negative
Jingle Bell Heist,73%,positive,42%,negative
365 Days,0%,negative,36%,negative
A HOUSE OF DYNAMITE,75%,positive,77%,positive
28 Years Later,89%,positive,63%,positive
Champagne Problems,75%,positive,65%,positive
Klaus,95%,positive,96%,positive
A Merry Little Ex-Mas,50%,negative,35%,negative
KPop Demon Hunters,95%,positive,99%,positive
Christmas With the Kranks,5%,negative,40%,negative
The Woman in Cabin 10,26%,negative,32%,negative
Stand by Me,92%,positive,94%,positive
Last Christmas,46%,negative,81%,positive
Fatman,43%,negative,84%,positive
The Hustle,13%,negative,44%,negative
Troll 2,56%,negative,35%,negative
Evelyn,100%,positive,74%,positive
The Northman,90%,positive,64%,positive
Babylon,57%,negative,52%,negative
Fifty Shades of Grey,25%,negative,41%,negative
Honest Thief,41%,negative,87%,positive
House of Gucci,61%,positive,83%,positive
The Night Before,69%,positive,61%,positive
The Fanatic,15%,negative,32%,negative
After,18%,negative,64%,positive
Troll,90%,positive,51%,negative
The Christmas Chronicles,67%,positive,76%,positive
Ballad of a Small Player,48%,negative,51%,negative
That Christmas,67%,positive,74%,positive
Nouvelle Vague,90%,positive,84%,positive
The Thursday Murder Club,77%,positive,53%,negative
Jingle Jangle: A Christmas Journey,91%,positive,69%,positive
Tenet,70%,positive,76%,positive
Until Dawn,51%,negative,66%,positive
Happy Christmas,75%,positive,37%,negative
Under the Shadow,99%,positive,70%,positive
Wind River,87%,positive,90%,positive
The Electric State,14%,negative,67%,positive
Don't Worry Darling,38%,negative,74%,positive
A Boy Called Christmas,83%,positive,62%,positive
Brightburn,57%,negative,67%,positive
Hit Man,95%,positive,89%,positive
Steve,78%,positive,66%,positive
The Little Things,45%,negative,67%,positive
Carry-On,88%,positive,52%,negative
Meet Joe Black,48%,negative,81%,positive
Karate Kid: Legends,58%,negative,90%,positive
The Wolf of Wall Street,79%,positive,83%,positive
Pulp Fiction,92%,positive,96%,positive
Love Hard,53%,negative,89%,positive
Havoc,64%,positive,35%,negative
What Lies Beneath,49%,negative,58%,negative
In Your Dreams,86%,positive,78%,positive
Idiocracy,71%,positive,61%,positive
The Wild Robot,97%,positive,98%,positive
The Dark Tower,16%,negative,44%,negative
Zodiac,90%,positive,77%,positive
Hot Frosty,76%,positive,52%,negative
The Killer,85%,positive,61%,positive
The Carman Family Deaths,,,,
"Are You There God? It's Me, Margaret.",99%,positive,94%,positive
The Maze Runner,66%,positive,68%,positive
Cast Away,88%,positive,84%,positive
The Martian,91%,positive,91%,positive
Kraven the Hunter,15%,negative,72%,positive
I Know What You Did Last Summer,36%,negative,67%,positive
Let It Snow,85%,positive,48%,negative
Leave the World Behind,73%,positive,36%,negative
Forrest Gump,75%,positive,95%,positive
Training Day,74%,positive,89%,positive
The Irishman,95%,positive,86%,positive
The Power of the Dog,94%,positive,76%,positive
His House,100%,positive,72%,positive
Paddington 2,99%,positive,89%,positive
Zero Dark Thirty,91%,positive,80%,positive
Rebel Ridge,95%,positive,73%,positive
Collateral,86%,positive,84%,positive
Taxi Driver,89%,positive,93%,positive
The Island,39%,negative,63%,positive
Single All the Way,70%,positive,67%,positive
Don't Look Up,56%,negative,78%,positive
28 Days Later,87%,positive,85%,positive
The Passion of the Christ,49%,negative,81%,positive
Ready Player One,71%,positive,77%,positive
As Good as It Gets,86%,positive,86%,positive
The Fakenapping,,,,
Premonition,8%,negative,50%,negative
Dr. Seuss' The Cat in the Hat,10%,negative,58%,negative
The Wonderful Story of Henry Sugar,95%,positive,82%,positive
Gerald's Game,91%,positive,70%,positive
The Terminator,90%,positive,89%,positive
Baby Driver,92%,positive,86%,positive
One of Them Days,94%,positive,89%,positive
The Lincoln Lawyer,83%,positive,82%,positive
Terminator 2: Judgment Day,91%,positive,95%,positive
Baramulla,54%,negative,92%,positive
White Chicks,15%,negative,55%,negative
The Stringer: The Man Who Took the Photo,92%,positive,,
The King,71%,positive,84%,positive
Our Little Secret,37%,negative,51%,negative
The Star,45%,negative,71%,positive
Falling for Christmas,62%,positive,41%,negative
Night Always Comes,51%,negative,41%,negative
El Camino: A Breaking Bad Movie,92%,positive,81%,positive
Anaconda,39%,negative,24%,negative
Inside Man,86%,positive,85%,positive
The Noel Diary,73%,positive,64%,positive
The Gray Man,46%,negative,90%,positive
Happy Gilmore 2,62%,positive,64%,positive
How to Lose a Guy in 10 Days,42%,negative,77%,positive
A Castle for Christmas,75%,positive,41%,negative
Oblivion,53%,negative,61%,positive
Host,98%,positive,71%,positive
The Hateful Eight,74%,positive,77%,positive
All the Empty Rooms,,,,
Transformers,57%,negative,85%,positive
Spy Game,64%,positive,75%,positive
The Hurt Locker,96%,positive,84%,positive
Who Killed Santa? A Murderville Murder Mystery,91%,positive,80%,positive
The Hangover,79%,positive,84%,positive
Hustle,94%,positive,93%,positive
True Grit,95%,positive,85%,positive
Nonnas,82%,positive,72%,positive
The Emoji Movie,6%,negative,36%,negative
Wallace & Gromit: Vengeance Most Fowl,100%,positive,91%,positive
The New Yorker at 100,64%,positive,,
Phantom Thread,91%,positive,71%,positive
Mean Girls,84%,positive,66%,positive
Mad Max: Fury Road,97%,positive,86%,positive
Hacksaw Ridge,84%,positive,92%,positive
The Stranger,92%,positive,74%,positive
Darkest Hour,84%,positive,83%,positive
Reptile,44%,negative,71%,positive
Just Mercy,85%,positive,99%,positive
Everybody's Fine,47%,negative,53%,negative
47 Ronin,16%,negative,48%,negative
On Swift Horses,53%,negative,70%,positive
The Green Mile,78%,positive,94%,positive
The Mask,81%,positive,68%,positive
The Book of Eli,46%,negative,65%,positive
10 Things I Hate About You,72%,positive,69%,positive
It Ends With Us,54%,negative,87%,positive
Plane,78%,positive,94%,positive
Brick,44%,negative,25%,negative
The Christmas Chronicles 2,66%,positive,45%,negative
Holidate,45%,negative,54%,negative
Traffic,93%,positive,85%,positive
Emilia Pérez,71%,positive,17%,negative
Limitless,68%,positive,74%,positive
Donnie Darko,88%,positive,80%,positive
RRR,96%,positive,94%,positive
Blue Beetle,78%,positive,90%,positive
It's What's Inside,80%,positive,70%,positive
Memoirs of a Geisha,35%,negative,83%,positive
The Curious Case of Benjamin Button,72%,positive,80%,positive
Joy Ride,90%,positive,81%,positive
Cheaper by the Dozen,25%,negative,56%,negative
Identity,63%,positive,75%,positive
Snatch,74%,positive,93%,positive
Scarface,79%,positive,93%,positive
Love and Wine,,,,
Little Women,92%,positive,84%,positive
The Christmas Contract,,,54%,negative
The Guilty,73%,positive,51%,negative
Bram Stoker's Dracula,69%,positive,79%,positive
The Harder They Fall,88%,positive,93%,positive
Damsel,56%,negative,59%,negative
Venom: The Last Dance,40%,negative,79%,positive
They Cloned Tyrone,95%,positive,82%,positive
My Oxford Year,29%,negative,39%,negative
Transformers: Rise of the Beasts,51%,negative,91%,positive
Crazy Rich Asians,91%,positive,76%,positive
1922,92%,positive,58%,negative
Best. Christmas. Ever!,40%,negative,19%,negative
Woman of the Hour,91%,positive,68%,positive
Pig,97%,positive,83%,positive
Redeeming Love,11%,negative,95%,positive
Ambulance,68%,positive,87%,positive
Land of Bad,66%,positive,93%,positive
Don't Say a Word,24%,negative,49%,negative
Heart Eyes,78%,positive,76%,positive
Christmas Bloody Christmas,78%,positive,42%,negative
The Outfit,86%,positive,92%,positive
Marriage Story,95%,positive,85%,positive
The Devil All the Time,65%,positive,79%,positive
Here,36%,negative,59%,negative
Maze Runner: The Scorch Trials,47%,negative,54%,negative
Elmo & Mark Rober's Merry Giftmas,,,,
Game Night,85%,positive,78%,positive
The Hangover Part III,21%,negative,44%,negative
Captain Phillips,93%,positive,89%,positive
Transformers: Revenge of the Fallen,19%,negative,57%,negative
Rebel Moon: Part One - A Child of Fire,22%,negative,56%,negative
I'm Thinking of Ending Things,82%,positive,50%,negative
Mean Girls,68%,positive,62%,positive
Upgrade,88%,positive,88%,positive
The Ballad of Buster Scruggs,89%,positive,78%,positive
The Goonies,77%,positive,91%,positive
Judas and the Black Messiah,96%,positive,95%,positive
Transformers: Age of Extinction,18%,negative,50%,negative
Triple Frontier,71%,positive,58%,negative
1917,88%,positive,88%,positive
This Is the End,82%,positive,71%,positive
Enola Holmes,91%,positive,71%,positive
The Knight Before Christmas,71%,positive,42%,negative
Maze Runner: The Death Cure,42%,negative,58%,negative
Bad Shabbos,84%,positive,82%,positive
The Ritual,74%,positive,63%,positive
The Way Back,85%,positive,84%,positive
Family Switch,47%,negative,43%,negative
The Pledge,78%,positive,59%,negative
Slender Man,8%,negative,17%,negative
Transformers: Dark of the Moon,35%,negative,55%,negative
Death Becomes Her,58%,negative,62%,positive
Deep Impact,45%,negative,43%,negative
The Life List,48%,negative,70%,positive
The Pale Blue Eye,62%,positive,69%,positive
12 Strong,50%,negative,62%,positive
May December,91%,positive,65%,positive
The Snowman,7%,negative,19%,negative
The Adam Project,68%,positive,73%,positive
The Merry Gentlemen,39%,negative,22%,negative
Polar,20%,negative,70%,positive
Creep,91%,positive,66%,positive
The Equalizer,61%,positive,77%,positive
Dog Man,82%,positive,81%,positive
Mr. & Mrs. Smith,60%,positive,58%,negative
Elvis,77%,positive,94%,positive
Confessions of a Shopaholic,26%,negative,49%,negative
Ne Zha,89%,positive,98%,positive
Coach Carter,63%,positive,85%,positive
Becoming Santa,,,23%,negative
The Ugly Truth,14%,negative,60%,positive
Fractured,56%,negative,53%,negative
Operation Mincemeat,83%,positive,65%,positive
Paddington in Peru,93%,positive,90%,positive
Red Notice,37%,negative,92%,positive
Rango,88%,positive,70%,positive
The Old Guard 2,27%,negative,33%,negative
Sex Tape,16%,negative,33%,negative
The Infiltrator,72%,positive,71%,positive
The Patriot,61%,positive,81%,positive
Labyrinth,77%,positive,86%,positive
8 Mile,76%,positive,54%,negative
Exterritorial,80%,positive,52%,negative
Molly's Game,82%,positive,84%,positive
The Penguin Lessons,78%,positive,95%,positive
Jarhead,60%,positive,68%,positive
Stowaway,75%,positive,44%,negative
Star Trek,94%,positive,91%,positive
Fair Play,86%,positive,54%,negative
Broke,91%,positive,80%,positive
To All the Boys I've Loved Before,96%,positive,84%,positive
Godzilla: King of the Monsters,42%,negative,83%,positive
Scrooge: A Christmas Carol,40%,negative,66%,positive
Teenage Mutant Ninja Turtles: Mutant Mayhem,95%,positive,90%,positive
The Amazing Spider-Man,71%,positive,77%,positive
Den of Thieves: Pantera,62%,positive,79%,positive
Kung Fu Panda,87%,positive,83%,positive
Matt Rife: Unwrapped - A Christmas Crowd Work Special,,,,
Red Dragon,69%,positive,74%,positive
The Forty-Year-Old Version,99%,positive,72%,positive
Cheaper by the Dozen 2,8%,negative,57%,negative
Fifty Shades Darker,11%,negative,48%,negative
The Amazing Spider-Man 2,51%,negative,64%,positive
Roma,96%,positive,72%,positive
Sweet Home Alabama,38%,negative,78%,positive
Ice Road: Vengeance,15%,negative,24%,negative
The Wrong Paris,67%,positive,63%,positive
The Other Guys,78%,positive,60%,positive
The White House Effect,94%,positive,,
Ghost,74%,positive,80%,positive
Despicable Me 4,55%,negative,86%,positive
White Noise,64%,positive,33%,negative
Cats,19%,negative,53%,negative
The Hangover Part II,35%,negative,52%,negative
Back in Action,30%,negative,60%,positive
Non-Stop,62%,positive,63%,positive
Set It Up,92%,positive,69%,positive
Unbroken,53%,negative,70%,positive
Uglies,14%,negative,43%,negative
Undercover Grandpa,,,30%,negative
The Six Triple Eight,56%,negative,72%,positive
Masaka Kids: A Rhythm Within,,,,
Meet Me Next Christmas,69%,positive,41%,negative
STRAW,55%,negative,69%,positive
Kevin Hart: Acting My Age,,,29%,negative
